crop,doy,posterior_mean,posterior_iqr_25,posterior_iqr_75,ci_05,ci_95
corn,252,0.86714,0.85324,0.88044,0.83414,0.90029
corn,252,0.86388,0.85068,0.87811,0.82954,0.89826
corn,253,0.86057,0.84612,0.87481,0.82733,0.89439
corn,254,0.85721,0.84403,0.87088,0.82298,0.89028
corn,254,0.8538,0.83982,0.86724,0.82044,0.88704
corn,255,0.85033,0.83643,0.86405,0.81796,0.88486
corn,256,0.8468,0.83279,0.86032,0.81135,0.88039
corn,257,0.84322,0.82854,0.85613,0.80837,0.87643
corn,257,0.83957,0.82611,0.85303,0.80633,0.87442
corn,258,0.83585,0.82213,0.85028,0.80224,0.86957
corn,259,0.83207,0.81862,0.84526,0.79971,0.86518
corn,260,0.82822,0.81455,0.84129,0.79546,0.86048
corn,260,0.8243,0.80977,0.83669,0.78927,0.85816
corn,261,0.82031,0.80667,0.83421,0.78831,0.8545
corn,262,0.81626,0.803,0.83046,0.78382,0.84805
corn,262,0.81216,0.79772,0.82643,0.77878,0.84575
corn,263,0.80802,0.79403,0.82182,0.77443,0.84182
corn,264,0.80384,0.79049,0.81806,0.77154,0.83767
corn,265,0.79964,0.78624,0.81342,0.76663,0.83324
corn,265,0.79544,0.78163,0.8088,0.76082,0.82986
corn,266,0.79125,0.77749,0.80393,0.75726,0.82395
corn,267,0.7871,0.77353,0.79997,0.75241,0.82134
corn,267,0.783,0.76911,0.79554,0.74907,0.81619
corn,268,0.77897,0.76536,0.79254,0.74507,0.81123
corn,269,0.77504,0.76023,0.7881,0.74097,0.80877
corn,270,0.77122,0.7576,0.78476,0.73707,0.80471
corn,270,0.76752,0.75361,0.78206,0.73265,0.80081
corn,271,0.76398,0.74953,0.77788,0.72938,0.79792
corn,272,0.7606,0.74679,0.77475,0.7263,0.79239
corn,273,0.75739,0.74432,0.77176,0.72548,0.7907
corn,273,0.75436,0.73931,0.76776,0.7213,0.78707
corn,274,0.75151,0.7371,0.76509,0.71774,0.78473
corn,275,0.74884,0.7361,0.76391,0.71594,0.78434
corn,275,0.74634,0.73169,0.76096,0.71282,0.77856
corn,276,0.74401,0.73026,0.75859,0.70996,0.77863
corn,277,0.74183,0.72893,0.75636,0.70988,0.77475
corn,278,0.73979,0.72597,0.75302,0.70523,0.772
corn,278,0.73785,0.72479,0.75279,0.70326,0.77292
corn,279,0.73601,0.72253,0.74987,0.70172,0.77045
corn,280,0.73424,0.7192,0.74784,0.69926,0.76838
corn,280,0.73251,0.71928,0.74649,0.70062,0.76644
corn,281,0.73079,0.71707,0.74441,0.69787,0.76232
corn,282,0.72906,0.71567,0.74163,0.69652,0.76118
corn,283,0.72731,0.71406,0.74087,0.69281,0.76001
corn,283,0.72549,0.71127,0.73902,0.69098,0.759
corn,284,0.7236,0.70907,0.7366,0.68993,0.75569
corn,285,0.72164,0.70833,0.7358,0.68906,0.75363
corn,286,0.71957,0.70627,0.73393,0.68828,0.75166
corn,286,0.71741,0.70489,0.73191,0.68479,0.75128
corn,287,0.71516,0.70148,0.72955,0.68156,0.75131
corn,288,0.71282,0.69855,0.72621,0.67895,0.74616
corn,288,0.7104,0.69588,0.72404,0.67755,0.74474
corn,289,0.70793,0.69389,0.72149,0.67328,0.74067
corn,290,0.70542,0.69239,0.71907,0.67309,0.73798
corn,291,0.7029,0.68896,0.71662,0.66795,0.73549
corn,291,0.70039,0.68718,0.71394,0.66636,0.73368
corn,292,0.69794,0.68414,0.71203,0.66515,0.73178
corn,293,0.69557,0.68314,0.70956,0.66376,0.72787
corn,293,0.69331,0.6795,0.70767,0.65869,0.72564
corn,294,0.69119,0.67645,0.70423,0.65532,0.72493
corn,295,0.68923,0.6743,0.70299,0.65503,0.72138
corn,296,0.68746,0.67447,0.70123,0.6562,0.72108
corn,296,0.6859,0.67179,0.69938,0.65302,0.7192
corn,297,0.68455,0.67053,0.69912,0.65124,0.71898
corn,298,0.68342,0.66968,0.69678,0.65011,0.71643
corn,299,0.6825,0.6693,0.69669,0.64952,0.71711
corn,299,0.68179,0.66855,0.69592,0.64828,0.71515
corn,300,0.68126,0.66771,0.69457,0.64641,0.71463
corn,301,0.68089,0.66796,0.69451,0.64812,0.71324
corn,301,0.68065,0.66747,0.69558,0.64772,0.71569
corn,302,0.6805,0.66818,0.69479,0.64707,0.71562
corn,303,0.68039,0.66692,0.69475,0.64792,0.7125
corn,304,0.68027,0.66612,0.69497,0.64633,0.71478
corn,304,0.6801,0.66581,0.6935,0.64582,0.71288
corn,305,0.67982,0.66646,0.69362,0.64573,0.71424
corn,306,0.67938,0.66551,0.6937,0.64431,0.7134
corn,306,0.67873,0.66411,0.69177,0.64499,0.71037
corn,307,0.67783,0.66358,0.6906,0.64394,0.71156
corn,308,0.67663,0.66401,0.69067,0.64475,0.70999
corn,309,0.6751,0.66083,0.68809,0.64166,0.70738
corn,309,0.67323,0.65887,0.68696,0.6393,0.7061
corn,310,0.67099,0.65795,0.6847,0.63942,0.70419
corn,311,0.66838,0.6547,0.68209,0.63643,0.70259
corn,312,0.6654,0.65117,0.67853,0.63115,0.69929
corn,312,0.66208,0.64924,0.67652,0.62913,0.69571
corn,313,0.65844,0.64386,0.67255,0.62472,0.69363
soy,97,0.68935,0.67609,0.70218,0.65762,0.72349
soy,98,0.68736,0.67352,0.70077,0.65533,0.71816
soy,98,0.6855,0.67266,0.69884,0.65508,0.7173
soy,99,0.68377,0.67017,0.69634,0.65128,0.7132
soy,100,0.68219,0.66932,0.69526,0.65031,0.71318
soy,101,0.68077,0.66718,0.69321,0.64942,0.71107
soy,101,0.67953,0.66688,0.69299,0.64761,0.71179
soy,102,0.67848,0.66588,0.69173,0.64707,0.70809
soy,103,0.67761,0.66473,0.68962,0.64666,0.7081
soy,104,0.67695,0.6645,0.68999,0.64667,0.70931
soy,104,0.67648,0.66327,0.68866,0.64506,0.70724
soy,105,0.67621,0.66389,0.68879,0.64458,0.70791
soy,106,0.67615,0.66359,0.68892,0.64561,0.70779
soy,106,0.67628,0.66263,0.68943,0.64348,0.70874
soy,107,0.67661,0.66444,0.68928,0.64579,0.7069
soy,108,0.67711,0.66474,0.68853,0.64668,0.70798
soy,109,0.6778,0.66481,0.68918,0.64636,0.70934
soy,109,0.67864,0.6658,0.69068,0.64658,0.71009
soy,110,0.67963,0.66636,0.69212,0.64787,0.71142
soy,111,0.68075,0.66659,0.69287,0.6487,0.71281
soy,111,0.68199,0.66942,0.69553,0.64948,0.7127
soy,112,0.68333,0.67164,0.69648,0.65381,0.71568
soy,113,0.68476,0.67126,0.69746,0.65257,0.71567
soy,114,0.68625,0.67328,0.69861,0.65473,0.71822
soy,114,0.68778,0.67573,0.70139,0.65681,0.72006
soy,115,0.68935,0.67634,0.70174,0.65832,0.72018
soy,116,0.69093,0.67866,0.7041,0.66055,0.7221
soy,117,0.6925,0.67978,0.70559,0.66062,0.72343
soy,117,0.69405,0.68115,0.70736,0.66247,0.725
soy,118,0.69558,0.68343,0.70966,0.66416,0.72902
soy,119,0.69705,0.68463,0.71026,0.66414,0.72979
soy,119,0.69847,0.68526,0.71151,0.6676,0.72962
soy,120,0.69983,0.68567,0.71288,0.66681,0.72963
soy,121,0.70111,0.68888,0.71424,0.66971,0.7323
soy,122,0.70232,0.68878,0.71545,0.66807,0.73437
soy,122,0.70344,0.69033,0.71621,0.67156,0.73403
soy,123,0.70449,0.691,0.71656,0.67279,0.73622
soy,124,0.70546,0.6922,0.71773,0.67409,0.73675
soy,124,0.70634,0.69237,0.72009,0.67543,0.74067
soy,125,0.70716,0.69357,0.71973,0.67618,0.73846
soy,126,0.70791,0.695,0.72073,0.67715,0.73949
soy,127,0.7086,0.696,0.72098,0.67662,0.7384
soy,127,0.70925,0.69614,0.72244,0.67742,0.73982
soy,128,0.70985,0.69645,0.72285,0.67739,0.74043
soy,129,0.71043,0.69662,0.72244,0.67901,0.74167
soy,130,0.71099,0.69824,0.72323,0.68175,0.74188
soy,130,0.71155,0.69858,0.72478,0.67935,0.74302
soy,131,0.71212,0.69914,0.72439,0.68011,0.74257
soy,132,0.71271,0.70028,0.72626,0.68272,0.74606
soy,132,0.71333,0.70042,0.72569,0.68309,0.74389
soy,133,0.714,0.70167,0.72806,0.6839,0.74644
soy,134,0.71472,0.70177,0.72804,0.68313,0.7462
soy,135,0.71551,0.70293,0.72792,0.68395,0.74593
soy,135,0.71637,0.70363,0.72882,0.68478,0.74764
soy,136,0.71731,0.70425,0.72969,0.68592,0.74938
soy,137,0.71833,0.70581,0.73229,0.68581,0.74985
